"","feature","id.x","formula","compound","pubchem","ionmass","NPC_pathway","NPC_superclass","NPC_class","ClassyFire_superclass","ClassyFire_class","ClassyFire_subclass","ClassyFire_level5","ClassyFire_most_specific","id.y","datafile.con_1.mzML.area","datafile.con_2.mzML.area","datafile.con_3.mzML.area","datafile.con_4.mzML.area","datafile.con_5.mzML.area","datafile.con_6.mzML.area","datafile.con_7.mzML.area","datafile.con_8.mzML.area","datafile.le1_1.mzML.area","datafile.le1_2.mzML.area","datafile.le1_3.mzML.area","datafile.le1_4.mzML.area","datafile.le1_5.mzML.area","datafile.le1_6.mzML.area","datafile.le1_7.mzML.area","datafile.le1_8.mzML.area","datafile.sl1_1.mzML.area","datafile.sl1_2.mzML.area","datafile.sl1_3.mzML.area","datafile.sl1_4.mzML.area","datafile.sl1_5.mzML.area","datafile.sl1_6.mzML.area","datafile.sl1_7.mzML.area","datafile.sl1_8.mzML.area","id","ctrl_vs_sl1_log2FC","ctrl_vs_sl1_padj","ctrl_vs_le1_log2FC","ctrl_vs_le1_padj"
"205","561.96368_6.6054","3070","[M - H]-","InChI=1S/C24H16Cl3N3O3S2/c25-17-7-3-1-6-15(17)13-33-20-8-4-2-5-14(20)11-21-22(31)30(24(34)35-21)29-23(32)28-16-9-10-18(26)19(27)12-16/h1-12H,13H2,(H2,28,29,32)",7.2,2,"[M - H]-","Amino acids and Peptides","Anthranilic acid alkaloids","Indole diketopiperazine alkaloids (L-Trp, L-Ala)","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives",NA,"3070",1.04317375886525,1.05439068100358,0.996527777777778,322.47950913242,0.972800925925926,1.06585144927536,1.09440104166667,1.00883058984911,1.02786512928022,0.935671119592875,790.501025641026,1.04095895258316,381.385231381056,1.07520102339181,0.97473492379059,837.29893431167,1967.58169781931,6462.75180412371,3092.31941778631,704.761023206751,1051.95490506329,898.628722105997,2195.33582089552,753.951359898798,"3070",5.69893099782159,0.051350868151918,2.61094177160916,0.326353985886887
"206","562.04093_8.457","3449","[M - H]-","InChI=1S/C19H17N9O6S3/c20-9-11-1-2-13(7-12(11)10-21)35-24-6-5-23-18-26-17(22)27-19(28-18)25-15-8-14(36(29,30)31)3-4-16(15)37(32,33)34/h1-4,7-8,24H,5-6H2,(H,29,30,31)(H,32,33,34)(H4,22,23,25,26,27,28)",-1.4,2,"[M - H]-","Carbohydrates","Nucleosides","Carboline alkaloids","Benzenoids","Phenol ethers","Anisoles",NA,"3449",1747.31604609929,377.155546594982,1508.74305555556,4605.47945205479,720.164525462963,1089.30018115942,343.641927083333,1806.81558641975,2016.6713836478,1159.29651717557,1486.90376602564,1355.32855626327,1870.76581706435,2017.07711988304,984.482273028496,6090.10089098532,9879.14797507788,11777.1091065292,13617.1217210493,7075.09493670886,8678.36937412096,9129.88729079498,8435.31654228856,6411.9358001265,"3449",2.62024969213547,0.000103014304719106,0.477172159850203,0.629871800769082
"207","563.02462_6.3714","2941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2941",2620.4524822695,2308.06120071685,2680.65972222222,2484.08047945205,2654.77372685185,849.696775362319,1823.27213541667,1747.29458161866,1506.85027952481,2558.12484096692,1550.07596153846,1236.65923566879,899.541630513377,791.025392909357,472.259070576541,851.894619147449,3266.16728971963,5484.19029209622,3087.61412348049,2992.28639240506,3827.17123769339,3649.49320083682,3953.69527363184,3148.28652751423,"2941",0.776506592345586,0.00595949810135535,-0.79914622334842,0.0574341589244266
"208","564.33004_14.1973","3705","[M + CH2O2 - H]-","InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/p+1",5.1,137489285226,"[M + CH2O2 - H]-","Fatty acids","Glycerophospholipids","Glycerophosphocholines","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Lysophosphatidylcholines","3705",2992.8655141844,4036.20752688172,2894.91319444444,5992.8801369863,2653.80092592593,2915.10371376812,3993.46940104167,3379.58247599451,4882.35936408106,4587.59549936387,3676.24463141026,4303.32430997877,4267.9836406363,4296.50328947368,4538.36580516899,9673.23873165619,6760.52640186916,5875.41271477663,6082.06341970569,4617.43037974684,4261.60689170183,6419.94883193863,8336.00373134328,4003.27332384567,"3705",0.683751896829403,0.01815770538957,0.479102032361947,0.227822953635111
"209","567.01188_6.6057","3040","[M - H]-","InChI=1S/C20H21BrN6O5S2/c1-13-8-10-15(11-9-13)33(28,29)27-25-20(24-19-22-14(2)12-18(23-19)32-3)26-34(30,31)17-7-5-4-6-16(17)21/h4-12,27H,1-3H3,(H2,22,23,24,25,26)",4.1,2,"[M - H]-","Amino acids and Peptides","Amino acid glycosides","Glucosinolates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","3040",1169.39778368794,1440.2976702509,1032.40277777778,2286.42865296804,868.127546296296,1313.12898550725,375.051236979167,1168.22582304527,1563.38286163522,1088.18551208651,2423.17227564103,1266.8470452937,2626.94233550253,1303.14364035088,2177.55781974818,3351.86818658281,5767.11300623053,11140.235395189,6435.90155150352,5006.64926160338,4811.89205344585,5792.21138423989,5977.58582089552,3348.31064199874,"3040",2.3223643389158,0.003069107994132,0.71096664364648,0.128874950933098
"210","575.98021_8.4562","3458",NA,NA,NA,NA,"[M + CHO2 + H]-","Alkaloids","Flavonoids","Imidazole alkaloids","Organic oxygen compounds","Organooxygen compounds","Ethers","Diarylethers","3458",13728.1666666667,5995.26541218638,9265.71527777778,28851.4098173516,7465.27430555556,8383.9875,5303.46744791667,11359.432441701,13187.5096086653,9277.17915076336,9984.97836538462,10617.7813163482,11656.3919016631,15590.4148391813,7766.68787276342,32480.5380852551,58486.7554517134,71451.1649484536,87612.5799744082,38496.3185654008,54087.2389240506,55244.9982566248,58699.0982587065,36004.3406072106,"3458",2.34825264643041,0.000434594509734759,0.291208928035459,0.708892471882839
"211","575.98034_7.568","3204","[M - H]-","InChI=1S/C24H15Cl4N5O4/c25-17-5-3-15(21(27)10-17)12-29-31-23(34)20(9-14-1-7-19(8-2-14)33(36)37)24(35)32-30-13-16-4-6-18(26)11-22(16)28/h1-13H,(H,31,34)(H,32,35)",7.8,2,"[M - H]-","Alkaloids","Flavonoids","Imidazole alkaloids","Organic oxygen compounds","Organooxygen compounds","Ethers","Diarylethers","3204",4433.48847517731,4229.16102150538,3629.35416666667,3383.10844748858,3356.16319444444,2481.30217391304,3969.392578125,3108.2070473251,4961.50497903564,3786.66102099237,4404.13918269231,4098.25539631989,4555.13928054953,4061.03426535088,4132.8760768721,4686.03712438854,4925.82749221184,9154.80687285223,8123.22008957134,5675.14820675106,5897.98118846695,6715.35468967922,7507.00310945274,4904.77735610373,"3204",0.887860495046789,0.00366772110780519,0.278819252438146,0.0589182540441306
"212","576.98652_8.4569","3460",NA,NA,NA,NA,"[M - H]-","Amino acids and Peptides","Peptide alkaloids","Indole diketopiperazine alkaloids (L-Trp, L-Ala)","Organoheterocyclic compounds","Indoles and derivatives",NA,NA,"3460",4959.24804964539,1984.36326164875,3240.70833333333,10400.7077625571,2607.10648148148,3483.20253623188,1659.11197916667,3949.57175925926,4651.08970999301,3561.16428117048,4011.90584935897,3981.66799363057,4564.7111352133,6283.47478070175,2804.31237574553,11491.5321453529,25238.5654205607,28740.189862543,39947.9486564299,15240.7120253165,21721.7827004219,21652.8390864714,23260.105721393,13992.3845667299,"3460",2.55554625233959,0.00131765107887794,0.357062143280668,0.614888263825176
"213","577.00413_3.4967","2805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2805",5749.97375886525,2127.76039426523,4035.9375,3447.39326484018,6192.85069444444,2759.48940217391,4065.69986979167,2077.18218449931,2023.86643955276,3455.43344465649,2180.85504807692,2874.08766808209,3134.25063268257,3473.97450657895,2661.02634194831,2205.79856743536,8406.44010903427,25656.912371134,8780.07917466411,7780.83122362869,10118.2132559775,10134.0620641562,9352.13059701493,7773.03012333966,"2805",1.53079130265512,0.0360454331959029,-0.468627293777769,0.241861019267931
"214","577.08033_6.3743","2937","[M - H]-","InChI=1S/C33H22O6S2/c34-40(35,30-13-9-22-5-1-3-7-24(22)20-30)38-28-11-15-32-26(18-28)17-27-19-29(12-16-33(27)32)39-41(36,37)31-14-10-23-6-2-4-8-25(23)21-31/h1-16,18-21H,17H2",8.2,2,"[M - H]-","Amino acids and Peptides","Amino acid glycosides","Glucosinolates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","2937",2664.26578014184,1496.18037634409,2402.62847222222,1945.81506849315,2623.64409722222,1561.47237318841,1655.82877604167,1984.3697702332,1416.39814814815,2201.63414440204,1607.59094551282,1331.38650035386,1307.08993130875,1103.15625,947.83223989397,934.123829489867,2599.92048286604,7840.62302405498,2735.65810940499,3049.91561181435,4012.32357594937,3052.52719665272,3343.1828358209,2736.1438172043,"2937",0.846461525402406,0.083715511192457,-0.590305954792503,0.0408771842363865
